LandId,Owner,HistoricalName,District,EnglishName,Description,BuildingPointsCount,LastIncome
polygon-1746055675391,DomenicoGrimani,Calle de la Misericordia,Cannaregio,Alley of Mercy,"This narrow alley was located in the Cannaregio sestiere, near the church of Santa Maria della Misericordia. The area was known for its charitable institutions and hospices serving the poor and sick.",3,0
polygon-1746072917032,BasstheWhale,Calle de la Regina presso Santa Maria Formosa,Castello,Street of the Queen near Saint Mary Formosa,"This area in the sestiere of Castello was known for its proximity to the Church of Santa Maria Formosa, one of the oldest churches in Venice dating back to the 7th century. The street name likely referred to a prominent woman or queen associated with the area.",3,2280
polygon-1745879328980,John_Jeffries,"Calle de la Sbiaca, Sestiere di San Marco",San Marco,"Alley of the Bleachers, District of St. Mark","This narrow alley was located in the Sestiere di San Marco, near Piazza San Marco, the heart of Venice. The area was known for its artisan workshops, particularly bleachers who whitened linens and fabrics.",5,3458
polygon-1746055928225,aegean_mariner,Calle de la Scuola de San Rocco,San Polo,Street of the School of Saint Roch,"In the 15th century, this area was part of the San Polo sestiere and was known for the Scuola Grande di San Rocco, a prominent confraternity dedicated to Saint Roch, which was founded nearby in 1478.",13,25840
polygon-1745879404342,John_Jeffries,Calle de la Testa,San Polo,Head Street,"## Historical Background

Calle della Testa in Cannaregio, close to the Scuola Grande di San Marco, owes its name to the big sculpture of a head (testa) which can be found on a house in that ally. The street literally means ""Street of the Head"" in Italian.

## The Executioner's House

According to the tradition, the house which lodges this startling sculpture was home to one of the most active Serenissima executioners of the XV century. This reveals a grim aspect of Venice's judicial history during the Renaissance period.

## The Head's Sinister Fun

This means that the Venetian authorities would literally drop death warrants through this stone head to inform the executioner about upcoming executions - a macabre but efficient system of communication that maintained some distance between the state and its executioner.

This street and its sculptural head serve as a tangible reminder of Venice's complex history of justice and punishment during the Renaissance, when La Serenissima maintained strict order through sometimes harsh measures. The fact that this architectural detail has survived and given its name to an entire street shows how these darker aspects of history remain embedded in Venice's urban fabric.",20,13210
polygon-1746056149790,ConsiglioDeiDieci,"Calle de la Testa, Sestiere di Castello",Castello,"Head Street, Castello District","This narrow street was located in the Castello sestiere, known for being the largest district and home to the Arsenale, the historic shipyard and naval base of Venice. The area was populated by artisans, sailors, and shipbuilders.",8,0
polygon-1745879481263,TechnoMedici,Calle de la Vida in Sestiere di Santa Croce,Santa Croce,Street of Life in the District of the Holy Cross,"A narrow street located in the Santa Croce sestiere, known for its vibrant community and proximity to the Church of San Simeon Piccolo.",8,10723
polygon-1746055610394,ConsiglioDeiDieci,Calle de le Capuzzine in Sestiere di Cannaregio,Cannaregio,Alley of the Capuchin Nuns in the Cannaregio District,"This area in the Cannaregio sestiere was known for the nearby Capuchin convent and church of Santa Maria dei Miracoli, a popular pilgrimage site completed in the late 15th century.",10,14098
polygon-1746055650628,ConsiglioDeiDieci,Calle de le Convertite,Castello,Street of the Converted Women,This narrow street in the Castello sestiere was known for housing a convent that took in reformed prostitutes in the 15th century. The nearby Rio de le Convertite canal is also named after this historical landmark.,4,7101
polygon-1746052792551,ConsiglioDeiDieci,"Calle de le Convertite, Sestiere di Dorsoduro",Dorsoduro,"Alley of the Converted Women, Dorsoduro District","This area in the Dorsoduro sestiere was known for housing a convent that took in reformed prostitutes in the 15th century, hence the name 'Calle de le Convertite' or 'Alley of the Converted Women'.",19,18865
polygon-1746052782991,SilkRoadRunner,"Calle de le Convertite, Sestiere Dorsoduro",Dorsoduro,"Alley of the Converted Women, Dorsoduro District","This area in the Dorsoduro sestiere was known for housing a convent that took in former prostitutes who had 'converted' and left their profession. It was near the church of San Trovaso and the Squero di San Trovaso, a historic gondola boatyard.",9,17733
polygon-1746055706124,ConsiglioDeiDieci,Calle de le Do Corti in Sestiere di San Marco,San Marco,Alley of the Two Courts in the District of St. Mark,"This narrow alley was located in the heart of the San Marco sestiere, known for its bustling commerce, artisan workshops, and proximity to Piazza San Marco and the Doge's Palace in the 15th century.",4,0
polygon-1746056660534,BasstheWhale,"Calle de le Lezze in Contrada San Moisè, Sestiere di San Marco",San Marco,"Lezze Alley in the San Moisè Quarter, District of San Marco","A narrow alleyway in the San Moisè quarter of the San Marco district, near the bustling Piazza San Marco and the Grand Canal. The area was known for its proximity to the heart of Venice's political and religious power.",11,12022
polygon-1746055739112,ConsiglioDeiDieci,Calle de le Pignate in Sestiere di Castello,Castello,Alley of the Pots in the Castello District,"A narrow alley in the Castello sestiere, known for its pottery workshops and kilns in the 15th century, located near the Chiesa di San Martino.",6,0
polygon-1746056903912,GamingPatrizio,"Calle de le Rasse, sestiere San Polo",San Polo,"Alley of the Ducks, San Polo district","A narrow alley in the San Polo sestiere, near the Grand Canal and Rialto market. Known for its proximity to the busy commercial district of Rialto in the 15th century.",11,9517
polygon-1746057372815,the_grand_experiment,Calle de le Terese,Dorsoduro,Alley of the Teresian nuns,This narrow street was located near a convent of Teresian nuns in the sestiere of Dorsoduro. The area was known for its religious institutions and quiet residential neighborhoods in the 15th century.,23,22420
polygon-1746056196666,ConsiglioDeiDieci,Calle de le Tole,Castello,Street of the Planks,"Located in the Castello sestiere, this area was known for its workshops producing wooden planks and boards for construction, especially for building and repairing ships at the nearby Arsenale.",34,27553
polygon-1745879056576,BasstheWhale,Calle de Ogni Santi,Dorsoduro,All Saints Street,"Located in the sestiere of Dorsoduro, this street was named after the nearby Church of Ognissanti (All Saints), which was an important religious and social center in 15th century Venice.",5,0
polygon-1746072707138,BasstheWhale,Calle de San Thomà in Sestier de San Polo,San Polo,Street of Saint Thomas in the District of Saint Paul,"This area was part of the San Polo sestiere, known for its artisan workshops and merchants in the 15th century. The nearby Church of San Tomà and Rio de San Tomà canal were prominent landmarks.",28,31051
polygon-1746055962882,SilkRoadRunner,"Calle degli Albanesi, San Marco",San Marco,"Alley of the Albanians, St. Mark's district","This narrow street in the San Marco sestiere was known for its Albanian community during the 15th century, as many Albanians fled to Venice after the Ottoman conquest of their homeland.",2,0
polygon-1746056541940,NLR,"Calle dei Avvocati, San Marco",San Marco,"Lawyers' Street, St. Mark's District","This street was known for housing offices of lawyers and notaries in the 15th century, located in the central San Marco sestiere near Piazza San Marco and the Doge's Palace.",9,18747
polygon-1745879581983,BasstheWhale,Calle dei Carmelitani in Sestiere di Dorsoduro,Dorsoduro,Carmelite Friars' Street in the Dorsoduro District,"A street located near the Church and Monastery of Santa Maria dei Carmini, home to Carmelite friars. The area was known for its religious institutions and residential neighborhoods in the 15th century.",74,68955
polygon-1745879015190,BasstheWhale,"Calle dei Cerchieri, sestiere di San Marco",San Marco,"Street of the Barrel Makers, district of St. Mark","This street was known for its concentration of barrel makers and coopers in the 15th century, located in the central San Marco district near Piazza San Marco and the Doge's Palace.",2,0
polygon-1746056619863,ConsiglioDeiDieci,"Calle dei Favri, San Marco",San Marco,"Street of the Blacksmiths, St. Mark's","This street was known for its concentration of blacksmith workshops in the San Marco sestiere during the 15th century, located near the Rialto Bridge and market area.",4,0
polygon-1746057051612,ConsiglioDeiDieci,Calle dei Forni a San Marco,San Marco,Street of the Ovens in Saint Mark's,"This street was known for its numerous bakeries and ovens in the 15th century, located in the sestiere of San Marco near Piazza San Marco and the Palazzo Ducale.",6,0
polygon-1746056351603,BasstheWhale,Calle dei Fuseri presso San Luca,San Marco,Spindle-makers' Street near Saint Luke's,"A narrow street in the San Marco sestiere, known for its spindle-making workshops and proximity to the Church of San Luca.",12,15461
polygon-1746056451160,Lucid,"Calle dei Greci, Sestiere Castello",Castello,"Alley of the Greeks, Castello District","This area in the Castello district was known for its Greek population and Orthodox churches in the 15th century, as Venice had strong ties with the Byzantine Empire.",9,6333
polygon-1745878859083,BasstheWhale,Calle dei Saloni presso Santa Maria Formosa,Castello,Saloni Street near Saint Mary Formosa,"This area in the Castello sestiere was known for its proximity to the Church of Santa Maria Formosa, one of the oldest churches in Venice dating back to the 7th century. The street name 'Saloni' likely referred to large hall-like buildings in the area.",8,5617
polygon-1746055971606,steven,Calle dei Sartori presso San Zulian,San Marco,Street of the Tailors near Saint Julian,This narrow street in the San Marco sestiere was known for its concentration of tailor shops and proximity to the Church of San Zulian (Saint Julian) in the 15th century.,1,0
polygon-1746057007426,ConsiglioDeiDieci,Calle del Bastion in Sestiere Castello,Castello,Bastion Street in Castello District,This area in the sestiere of Castello was known for its proximity to the city's defensive walls and bastions in the 15th century. It was a residential area populated by working-class Venetians.,4,0
polygon-1746055595653,NLR,"Calle del Batelo in Contrada San Moisè, Sestiere San Marco",San Marco,"Batelo Alley in the San Moisè Quarter, District of St. Mark","A narrow alley in the vibrant San Moisè quarter, known for its artisan workshops and proximity to St. Mark's Square and the bustling Rialto market area.",7,0
polygon-1746056582235,BasstheWhale,Calle del Caffettier in Sestiere San Marco,San Marco,Coffeehouse Maker Street in the District of St. Mark,"This street was located in the bustling commercial district of San Marco, known for its artisan workshops, merchants, and proximity to Piazza San Marco, the heart of Venice. The street name suggests it was home to one or more coffeehouses or coffee roasters in the 15th century, when coffee was first introduced to Venice from the Ottoman Empire.",4,12018
polygon-1746056173670,steven,"Calle del Dose, Sestiere di San Marco",San Marco,"Alley of the Doge, District of St. Mark","This alley was located in the sestiere of San Marco, near the political and religious heart of 15th century Venice. The Doge's Palace and St. Mark's Basilica were prominent landmarks in this district.",2,0
polygon-1746052744386,ConsiglioDeiDieci,Calle del Forno in Sestiere di Cannaregio,Cannaregio,Oven Street in the Cannaregio District,"A small street known for its bakeries and located in the Cannaregio sestiere, not far from the Chiesa della Madonna dell'Orto.",5,0
polygon-1746072871983,John_Jeffries,Calle del Forno in Sestiere di Santa Croce,Santa Croce,Oven Street in the District of the Holy Cross,"This calle was located in the sestiere of Santa Croce, known for its many artisan workshops and bread ovens in the 15th century. It was likely near the Church of San Simeon Grando.",3,12540
polygon-1746055561861,ConsiglioDeiDieci,Calle del Forno in Sestiere San Polo,San Polo,Oven Street in the District of Saint Paul,"A street known for its bakeries and located near the Rialto market, an important commercial hub of 15th century Venice.",47,66146
polygon-1746052711032,BasstheWhale,Calle del Gran presso Santa Maria Formosa,Castello,Calle del Gran near Saint Mary Formosa,"This area in the Castello sestiere was known for its proximity to the Church of Santa Maria Formosa, one of the oldest churches in Venice, originally built in the 7th century and rebuilt in 1492.",58,43912
polygon-1746072757215,BasstheWhale,Calle del Megio in Sestiere Dorsoduro,Dorsoduro,Alley of the Megio in the Dorsoduro District,"A narrow alley located in the Dorsoduro sestiere, known for its artisan workshops and proximity to the Chiesa di San Sebastiano church.",1,0
polygon-1745879385958,BasstheWhale,"Calle del Pezzetto, Sestiere di Cannaregio",Cannaregio,"Alley of the Small Piece, Cannaregio District","This narrow street was located in the Cannaregio sestiere, known for its working-class population and being home to the Jewish Ghetto in the 15th century. The area was characterized by its dense network of small alleys and canals.",19,18620
polygon-1746055501491,NLR,"Calle del Scarlatto, Sestiere di Castello",Castello,"Calle del Scarlatto, Castello District","This street was located in the Castello sestiere, one of the six districts of Venice. In the 15th century, Castello was known for its naval shipyards, the Arsenale, and numerous churches.",12,26434
polygon-1746072817474,BasstheWhale,Calle del Traghetto di San Marcuola,Cannaregio,Street of the San Marcuola Ferry,"This area in the Cannaregio sestiere was known for its traghetto (ferry) crossing, connecting the north and south banks of the Grand Canal near the Chiesa di San Marcuola.",5,0
polygon-1746056675315,BasstheWhale,"Calle Giustinian, San Marco",San Marco,"Giustinian Alley, St. Mark's District","A narrow street located in the central San Marco sestiere, near Piazza San Marco and the Ducal Palace. The area was a hub of political and commercial activity in 15th century Venice.",2,0
polygon-1746056790924,BasstheWhale,Calle Larga de San Moisè,San Marco,Long Street of Saint Moses,"This street was located in the San Marco sestiere, known for its proximity to the Church of San Moisè and the bustling commercial activity in the area during the 15th century.",8,7659
polygon-1746052814583,ConsiglioDeiDieci,"Calle Larga dei Lavraneri, Sestiere di Dorsoduro",Dorsoduro,"Wide Street of the Wool Workers, Dorsoduro District","This area was known for its wool workers and their workshops in the 15th century, located in the Dorsoduro sestiere near the Giudecca Canal.",28,25472
polygon-1745879262533,John_Jeffries,"Calle Larga dei Ragusei, Sestiere di Dorsoduro",Dorsoduro,"Long Street of the Ragusans, Dorsoduro District","This area was known for its proximity to the Scuola Grande dei Carmini, a prominent confraternity building, and the Chiesa dei Carmini, a church dedicated to Our Lady of Mount Carmel. The street name suggests a connection to the Ragusan community, merchants from Dubrovnik (Ragusa) who traded in Venice.",8,12255
polygon-1745879183695,ConsiglioDeiDieci,Calle Larga San Marco,San Marco,Long Street of St Mark's,"A wide street in the San Marco sestiere, near Piazza San Marco and the Doge's Palace. The area was a center of government and commerce in 15th century Venice.",15,10127
polygon-1745879165953,ConsiglioDeiDieci,Calle Larga Santa Maria Formosa,Castello,Long Street of Saint Mary Formosa,"This street was located in the sestiere of Castello, near the Church of Santa Maria Formosa, which was an important religious and social center in 15th century Venice. The area was known for its artisans and merchants.",20,5871
polygon-1745879086976,BasstheWhale,Calle Longa de San Barnaba in Sestier de Dorsoduro,Dorsoduro,Long Street of Saint Barnabas in the Dorsoduro District,"This area in the sestiere of Dorsoduro was known for the Church of San Barnaba, which dates back to the 9th century. The nearby Rio de San Barnaba canal was an important waterway for local transportation and commerce in the 15th century.",6,0
polygon-1746056244077,steven,Calle Longa Santa Maria Formosa in Sestiere Castello,Castello,Long Street of Saint Mary Formosa in Castello District,"This area was part of the Castello sestiere, known for its proximity to the Church of Santa Maria Formosa, a prominent church in 15th century Venice. The street likely served as a main thoroughfare leading to the church.",7,7220
polygon-1746055693144,ConsiglioDeiDieci,Calle Loredan in Sestiere Cannaregio,Cannaregio,Loredan Street in Cannaregio District,"A residential street in the Cannaregio sestiere, near the northern edge of Venice. The area was known for its proximity to the Jewish Ghetto, which was established in 1516.",16,12813
polygon-1746055909289,BasstheWhale,"Calle Salamon in Sestiere Cannaregio, presso la Chiesa di Santa Maria dei Miracoli",Cannaregio,"Salamon Street in the Cannaregio District, near the Church of Saint Mary of Miracles","This area in the Cannaregio sestiere was known for its Jewish population in the 15th century, as it bordered the Jewish Ghetto. The nearby Church of Santa Maria dei Miracoli, built in the late 15th century, was a popular pilgrimage site.",3,0
polygon-1746057352428,BasstheWhale,Calle San Domenego en Sestier de Castello,Castello,Saint Dominic Street in the Castello District,"This area in the Castello sestiere was known for the Church of San Domenico, a Dominican church and monastery established in the 13th century. The nearby Rio di San Domenico canal was also named after this church.",46,73382
polygon-1746052735791,ConsiglioDeiDieci,Calle San Giacomo in Sestiere di Santa Croce,Santa Croce,Saint James Street in the District of Holy Cross,"This street was located in the sestiere of Santa Croce, known for its many churches and proximity to the Grand Canal. The nearby Church of San Giacomo dell'Orio, dating back to the 9th century, was a prominent landmark in the area during the 15th century.",31,35830
polygon-1746057275948,ConsiglioDeiDieci,Calle San Zuane in Rialto,San Polo,Saint John's Street in Rialto,"This narrow street was located in the bustling Rialto district, known for its merchants, artisans, and the famous Rialto Bridge. The area was a center of trade and commerce in 15th century Venice.",39,39790
polygon-1746056214187,BasstheWhale,"Calle San Zuane Lateran, Sestiere Castello",Castello,"Saint John Lateran Street, Castello District","This street was located in the Castello sestiere, one of the central districts of Venice. It was named after the nearby Church of San Giovanni in Laterano, a historic church dating back to the 11th century. The area was primarily residential, with houses and palaces of noble Venetian families.",1,
polygon-1746057305470,LorenzoMocenigo,"Calle San Zulian, Sestiere di San Marco",San Marco,"Saint Julian Street, District of Saint Mark","This street was located in the central San Marco sestiere, known for its proximity to Piazza San Marco, the political and religious heart of 15th century Venice. The street likely took its name from the nearby Church of San Zulian.",5,4522
polygon-1746056493504,ConsiglioDeiDieci,Calle Seconda de la Fava en Sestier de San Marco,San Marco,Second Street of the Fava in the District of St. Mark,"This area was part of the San Marco sestiere, known for its central location and proximity to important landmarks such as St. Mark's Basilica and the Doge's Palace. The street likely took its name from a prominent family or business dealing with fava beans.",24,27752
polygon-1746072737712,BasstheWhale,Calle Seconda de li Saoneri in Sestiere San Polo,San Polo,Second Street of the Soapmakers in the San Polo District,This area was known for its soapmaking workshops and proximity to the Rialto market in the 15th century.,4,0
polygon-1745879220627,LorenzoContarini,Calle Sporca in Canareggio,Cannaregio,Dirty Street in Cannaregio,"A narrow street in the sestiere of Cannaregio, known for its working-class residents and proximity to the Jewish Ghetto, which was established in 1516.",2,0
polygon-1746056033630,Miles4lf,Calle Stella in Sestiere San Marco,San Marco,"Star Street in the District of St. Mark, near the Church of San Salvador","This area was part of the vibrant merchant district of San Marco in the 15th century, known for its bustling trade and proximity to important landmarks like the Rialto Bridge and the Church of San Salvador.",14,6440
polygon-1746056735293,BasstheWhale,Calle Zaguri in Sestiere San Marco,San Marco,Zaguri Alley in the District of St. Mark,"A narrow alleyway located in the San Marco sestiere, known for its proximity to Piazza San Marco and the Doge's Palace in the 15th century.",5,0
polygon-1746056766342,BasstheWhale,Campiello de la Feltrina in Contrà San Moisè,San Marco,Little Square of the Feltrina in the San Moisè District,"This small square was likely named after a felt workshop or merchant in the San Marco sestiere, near the Church of San Moisè. The area was known for its artisan workshops and proximity to Piazza San Marco.",3,4275
polygon-1746055720258,ConsiglioDeiDieci,Campiello de la Scuola Vecchia della Misericordia,Cannaregio,Little Square of the Old School of Mercy,"This area in the Cannaregio sestiere was known for housing the Scuola Vecchia della Misericordia, one of the six major confraternities in Venice. The scuola was founded in the 13th century and was an important charitable institution in the 15th century.",4,0
polygon-1746052845524,ConsiglioDeiDieci,Campo de la Celestia,Castello,Field of the Celestia,"This area was known for the Church of Santa Maria della Celestia, a Catholic church built in the 14th century. The church was an important landmark in the sestiere of Castello.",11,2154
polygon-1746057327626,ConsiglioDeiDieci,Campo de San Zanipolo,Castello,Field of Saint John and Paul,"This area was known for the Dominican church and monastery of Santi Giovanni e Paolo, one of the largest churches in Venice. The campo (square) in front of the church was a popular gathering place.",19,22295
polygon-1746057432046,ConsiglioDeiDieci,Campo de Santa Elena,Castello,St. Helen's Square,"Area located in the Castello sestiere, near the church of Sant'Elena and the eastern end of the main Venetian islands. In the 15th century, it was a relatively quiet and less populated part of the city.",35,9663
polygon-1746057132024,BasstheWhale,Campo San Polo,San Polo,St. Paul's Square,"A major square in the San Polo sestiere, known for its large size and the Church of San Polo which has stood there since the 9th century. In the 15th century, it was a bustling area with markets, festivities, and one of the main wells providing water to the district.",15,19266
polygon-1746056923664,ConsiglioDeiDieci,Campo San Zaccaria,Castello,Saint Zechariah Square,"This campo was located in the sestiere of Castello, near the Chiesa di San Zaccaria, a 15th-century church dedicated to St. Zechariah. The church and square were important landmarks in Venice during this period.",7,12377
polygon-1746056107157,John_Jeffries,Campo San Zuane Grisostomo,Cannaregio,St. John Chrysostom Square,"This campo was located in the Cannaregio sestiere, named after the nearby Church of San Giovanni Grisostomo. In the 15th century, it was a bustling area known for its artisans, particularly goldsmiths and jewelers.",5,7182
polygon-1746052799876,shiren,Contrada de la Zudeca,Dorsoduro,District of Giudecca,"In the 15th century, Giudecca was a separate island from the main part of Venice, known for its gardens, vineyards, and convents. It was a quieter, more rural area compared to the dense central sestieri of Venice.",9,8107
polygon-1746055629992,ConsiglioDeiDieci,"Contrada San Giobbe, Sestiere Cannaregio",Cannaregio,"Saint Job District, Cannaregio Sestiere","This area in the Cannaregio sestiere was known for the nearby Chiesa di San Giobbe (Church of Saint Job), which was built in the mid-15th century. The church and surrounding area were named after the biblical figure Job.",5,0
polygon-1746072856331,BasstheWhale,Contrada San Polo,San Polo,District of Saint Paul,"This area was part of the San Polo sestiere, one of the six districts of Venice. It was known for its artisan workshops, particularly those of shoemakers and tanners, as well as the Church of San Polo.",8,6128
polygon-1746072967949,ConsiglioDeiDieci,Contrada San Polo,San Polo,District of Saint Paul,"This area in the San Polo sestiere was known for its artisan workshops, particularly blacksmiths and leather tanners, as well as the Church of San Polo which dates back to the 9th century.",21,27116
polygon-1745879117945,BasstheWhale,Contrada San Sebastiano in Dorsoduro,Dorsoduro,District of Saint Sebastian in Dorsoduro,"This area was part of the Dorsoduro sestiere, known for its churches, including the nearby Church of San Sebastiano. It was a residential district popular among artisans and the working class.",23,19130
polygon-1745879238426,ConsiglioDeiDieci,Contrada San Simeon Grande,Santa Croce,District of San Simeon the Great,"Area named after the nearby Church of San Simeon Grande, located in the Santa Croce sestiere. Known for its artisan workshops and proximity to the Grand Canal.",12,3491
polygon-1746056319492,GamingPatrizio,"Corte de Ca' Giustinian, Sestiere di San Marco",San Marco,"Courtyard of the Giustinian House, District of Saint Mark","An area near the Palazzo Giustinian, home to a prominent Venetian noble family. The district of San Marco was the political and religious center of Venice in the 15th century.",8,11234
polygon-1746056559199,BasstheWhale,Corte de l'Albero in Sestiere di San Marco,San Marco,Courtyard of the Tree in the District of St. Mark,"A small courtyard located in the San Marco district, known for its artisan workshops and proximity to Piazza San Marco, the cultural and political heart of 15th-century Venice.",1,0
polygon-1746072892556,John_Jeffries,Corte del Diavolo in San Polo,San Polo,Devil's Court in San Polo,"A small courtyard located in the San Polo sestiere, known for its unusual name referencing the devil. The area was primarily residential with nearby shops and artisan workshops.",3,5700
polygon-1746056403060,ConsiglioDeiDieci,Corte del Pozzo Roverso in San Marco,San Marco,Courtyard of the Roverso Well in Saint Mark's,"A small courtyard located near Piazza San Marco, the political and religious center of Venice in the 15th century. The area was known for its artisan workshops and proximity to the Doge's Palace.",5,0
polygon-1746055825280,Feola007,Fondamenta de Ca' Vendramin in Cannaregio,Cannaregio,Vendramin House Foundations in Cannaregio,"A walkway along a canal in the Cannaregio sestiere, near the historic Jewish Ghetto of Venice which was established in 1516.",2,6793
polygon-1746055488132,dkaya,Fondamenta de la Misericordia,Cannaregio,Quay of Mercy,"Area along the Rio de la Misericordia canal in the Cannaregio sestiere, known for the Scuola Vecchia della Misericordia, a historic religious confraternity building.",8,5106
polygon-1746055662884,ConsiglioDeiDieci,Fondamenta de la Misericordia,Cannaregio,Foundations of Mercy,"This area in the Cannaregio sestiere was known for the Scuola Grande della Misericordia, a large charitable confraternity building constructed in the late 15th century. The nearby Rio della Sensa canal was an important thoroughfare.",15,4199
polygon-1746055771007,steven,Fondamenta de la Misericordia,Cannaregio,Waterfront of Mercy,"This area in the Cannaregio sestiere was known for the Scuola Vecchia della Misericordia, a charitable confraternity founded in the 13th century. The nearby Rio della Sensa canal and Church of Santa Maria Valverde were also local landmarks.",1,0
polygon-1746052772601,ConsiglioDeiDieci,Fondamenta de le Capuzine,Cannaregio,Quay of the Capuchin Nuns,"This area in the Cannaregio sestiere was known for the nearby Convent of the Capuchin Nuns, established in the early 15th century. The fondamenta (quay) likely took its name from this convent.",27,20976
polygon-1745879227449,BasstheWhale,"Fondamenta de le Erbe, Sestiere Dorsoduro",Dorsoduro,"Quay of the Herbs, Dorsoduro District","This area in the Dorsoduro sestiere was known for its herb market along the canal quay in the 15th century, near the Church of San Nicolo dei Mendicoli.",3,6840
polygon-1745879309201,BasstheWhale,Fondamenta de le Eremite,Dorsoduro,Foundations of the Hermits,This area in the Dorsoduro sestiere was known for a convent of hermit nuns located nearby in the 15th century. The fondamenta (quay) likely took its name from this religious establishment.,5,6916
polygon-1746055751637,SilkRoadRunner,Fondamenta de le Gatte in Sestier de Dorsoduro,Dorsoduro,Quay of the Cats in Dorsoduro District,This area in the Dorsoduro sestiere was known for its many stray cats in the 15th century. It is located near the Giudecca Canal and the Church of San Trovaso.,2,0
polygon-1746052755300,Xadme,Fondamenta de le Scuole de San Rocco,San Polo,Foundations of the Schools of San Rocco,"This area in the San Polo sestiere was known for housing the Scuole Grandi di San Rocco, a prominent confraternity dedicated to Saint Roch, which was established in the late 15th century.",7,2579
polygon-1746052832155,LorenzoContarini,Fondamenta de San Gerardo Sagredo,Castello,Walkway of Saint Gerard Sagredo,"This area in the Cannaregio sestiere was known for its proximity to the Church of San Gerardo Sagredo, dedicated to the 11th-century Venetian saint. The fondamenta, or walkway, along the nearby canal was named after this church.",3,0
polygon-1745879206602,ConsiglioDeiDieci,Fondamenta de Santa Marta in Sestiere Dorsoduro,Dorsoduro,Quay of St. Martha in the Dorsoduro District,"Area near the Church of Santa Marta along the canal, part of the Dorsoduro sestiere. Known for shipping and maritime activities in the 15th century.",59,43425
polygon-1745879142005,BasstheWhale,Fondamenta degli Ognisanti,Dorsoduro,Foundations of All Saints,"This area in the Dorsoduro sestiere was known for its proximity to the Church of Ognissanti, a prominent religious landmark dedicated to All Saints. The fondamenta, or walkway along the canal, would have been a busy thoroughfare for locals and visitors alike.",15,2964
polygon-1746056711688,BasstheWhale,Fondamenta dei Narisi in Cannaregio,Cannaregio,Wharf of the Narisi Family in Cannaregio,"A bustling area along a canal in the Cannaregio sestiere, known for its many artisan workshops and proximity to the Jewish Ghetto, which was established in 1516.",9,2533
polygon-1746056756754,GamingPatrizio,"Fondamenta dei Narisi, Sestiere Dorsoduro",Dorsoduro,"Walkway of the Narisi Family, Dorsoduro District","A walkway along a canal in the Dorsoduro district, likely named after a prominent local family. The area was known for its artisan workshops and proximity to the Zattere promenade.",1,0
polygon-1746055877827,Bullitpro0f,Fondamenta del Remèr in Sestiere Dorsoduro,Dorsoduro,Quay of the Oar Maker in Dorsoduro District,"This area, situated along the Rio de San Barnaba canal in the Dorsoduro sestiere, was known for its concentration of skilled artisans, particularly oar makers who crafted oars for Venice's many gondolas and boats.",3,0
